Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,170.9760626,180,Texas,7730337
Jae Crowder,Boston Celtics,99,SF,25,202.1928376,235,Marquette,6796117
John Holland,Boston Celtics,30,SG,27,201.375766,205,Boston University,
R.J. Hunter,Boston Celtics,28,SG,22,181.7122432,185,Georgia State,1148640
Jonas Jerebko,Boston Celtics,8,PF,29,190.5045267,231,,5000000
Amir Johnson,Boston Celtics,90,PF,29,215.2287737,240,,12000000
Jordan Mickey,Boston Celtics,55,PF,21,202.3629562,235,LSU,1170960
Kelly Olynyk,Boston Celtics,41,C,25,207.6244689,238,Gonzaga,2165160
Terry Rozier,Boston Celtics,12,PG,22,183.7022882,190,Louisville,1824360
Marcus Smart,Boston Celtics,36,PG,22,183.9271201,220,Oklahoma State,3431040
Jared Sullinger,Boston Celtics,7,C,24,154.2801401,260,Ohio State,2569260
Isaiah Thomas,Boston Celtics,4,PG,27,186.571325,185,Washington,6912869
Evan Turner,Boston Celtics,11,SG,27,195.2232699,220,Ohio State,3425510
James Young,Boston Celtics,13,SG,20,180.4711527,215,Kentucky,1749840
Tyler Zeller,Boston Celtics,44,C,26,196.9252562,253,North Carolina,2616975
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,205.031391,216,,3425510
Markel Brown,Brooklyn Nets,22,SG,24,205.9579848,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,176.0827245,200,North Carolina,1500000
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,213.1293328,220,Arizona,1335480
Jarrett Jack,Brooklyn Nets,2,PG,32,187.0703918,200,Georgia Tech,6300000
Sergey Karasev,Brooklyn Nets,10,SG,22,199.934309,208,,1599840
Sean Kilpatrick,Brooklyn Nets,6,SG,26,190.2779324,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,0,PG,23,197.7185504,175,Miami (FL),1500000
Brook Lopez,Brooklyn Nets,11,C,28,194.1437148,275,Stanford,19689000
Chris McCullough,Brooklyn Nets,1,PF,21,180.5408744,200,Syracuse,1140240
Willie Reed,Brooklyn Nets,33,PF,26,192.4611199,220,Saint Louis,947276
Thomas Robinson,Brooklyn Nets,41,PF,25,181.4169782,237,Kansas,981348
Henry Sims,Brooklyn Nets,14,C,26,251.7836515,248,Georgetown,947276
Donald Sloan,Brooklyn Nets,15,PG,28,162.6746937,205,Texas A&M,947276
Thaddeus Young,Brooklyn Nets,30,PF,27,195.6007341,221,Georgia Tech,11235955
Arron Afflalo,New York Knicks,4,SG,30,179.3443272,210,UCLA,8000000
Lou Amundson,New York Knicks,17,PF,33,183.9508817,220,UNLV,1635476
Thanasis Antetokounmpo,New York Knicks,43,SF,23,191.6462092,205,,30888
Carmelo Anthony,New York Knicks,7,SF,32,201.8900315,240,Syracuse,22875000
Jose Calderon,New York Knicks,3,PG,34,180.271399,200,,7402812
Cleanthony Early,New York Knicks,11,SF,25,190.3249553,210,Wichita State,845059
Langston Galloway,New York Knicks,2,SG,24,153.309246,200,Saint Joseph's,845059
Jerian Grant,New York Knicks,13,PG,23,164.9669739,195,Notre Dame,1572360
Robin Lopez,New York Knicks,8,C,28,161.1606236,255,Stanford,12650000
Kyle O'Quinn,New York Knicks,9,PF,26,187.7662323,250,Norfolk State,3750000
Kristaps Porzingis,New York Knicks,6,PF,20,168.2214143,240,,4131720
Kevin Seraphin,New York Knicks,1,C,26,185.7610647,278,,2814000
Lance Thomas,New York Knicks,42,SF,28,194.1814742,235,Duke,1636842
Sasha Vujacic,New York Knicks,18,SG,32,187.0255032,195,,947276
Derrick Williams,New York Knicks,23,PF,25,178.2883464,240,Arizona,4000000
Tony Wroten,New York Knicks,5,SG,23,183.6677565,205,Washington,167406
Elton Brand,Philadelphia 76ers,42,PF,37,198.5136824,254,Duke,
Isaiah Canaan,Philadelphia 76ers,0,PG,25,215.9042191,201,Murray State,947276
Robert Covington,Philadelphia 76ers,33,SF,25,151.4335817,215,Tennessee State,1000000
Joel Embiid,Philadelphia 76ers,21,C,22,187.8578167,250,Kansas,4626960
Jerami Grant,Philadelphia 76ers,39,SF,22,167.8681179,210,Syracuse,845059
Richaun Holmes,Philadelphia 76ers,22,PF,22,212.7311793,245,Bowling Green,1074169
Carl Landry,Philadelphia 76ers,7,PF,32,182.9822649,248,Purdue,6500000
Kendall Marshall,Philadelphia 76ers,5,PG,24,179.8070249,200,North Carolina,2144772
T.J. McConnell,Philadelphia 76ers,12,PG,24,152.4500014,200,Arizona,525093
Nerlens Noel,Philadelphia 76ers,4,PF,22,158.107311,228,Kentucky,3457800
Jahlil Okafor,Philadelphia 76ers,8,C,20,195.1526184,275,Duke,4582680
Ish Smith,Philadelphia 76ers,1,PG,27,172.5465638,175,Wake Forest,947276
Nik Stauskas,Philadelphia 76ers,11,SG,22,204.7410337,205,Michigan,2869440
Hollis Thompson,Philadelphia 76ers,31,SG,25,203.6358269,206,Georgetown,947276
Christian Wood,Philadelphia 76ers,35,PF,20,153.6873427,220,UNLV,525093
Bismack Biyombo,Toronto Raptors,8,C,23,162.5291781,245,,2814000
Bruno Caboclo,Toronto Raptors,20,SF,20,216.1103994,205,,1524000
DeMarre Carroll,Toronto Raptors,5,SF,29,169.6585014,212,Missouri,13600000
